aseqno	info
A139175	a(n)=(n!-5)/5
A139176	a(n)=(n!-6)/6
A139177	a(n)=(n!-7)/7
A139183	a(n)=(n!-8)/8
A139184	a(n)=(n!-9)/9
A139185	a(n)=(n!-10)/10
A139222	a(n)=30*n-27
A139245	a(n)=20*n-16
A139249	a(n)=30*n-24
A139264	a(n)=70*n-63
A140529	a(n)=6*4^n-1
A141609	a(n)=(a(n-1)*a(n-2)+a(n-1)^2)/a(n-3)
A141694	a(n)=22*n+12
A144767	a(n)=n!-n^(n-6)
A144768	a(n)=n!-n^9
A145448	a(n)=12^n*n!
A151817	a(n)=2*(2*n)!/n!
A152016	a(n)=n^4-n^3-n^2-n
A152029	a(n)=2^n*(2*n)!/((n+1)!)
A152101	a(n)=16^n-3*2^(2*n-1)-1
A152256	a(n)=(3^n-1)*(3^n+1)*(3^n+1)/32
A152257	a(n)=(3^n-1)^2*(3^n+1)/16
A152456	a(n)=1*(n+2)!-2*(n+1)!-3*n!
A152580	a(n)=7^(2^n)+2
A153217	a(n)=n^(n+3)-(n+3)^n
A153257	a(n)=n^3-(n+1)^2
A153647	a(n)=3^n*(n+2)!
A154307	a(n)=(n+1)^4*(4+n)!/24
A154308	a(n)=(n+1)^5*(5+n)!/120
A155159	a(n)=1+2*n*n!
A155160	a(n)=2^n*(2+n+1)!!
A155484	a(n)=3169^(2n+1)
A155499	a(n)=n+(n+1)^(n+2)
A155539	a(n)=n^(n+3)+(n+3)^n
A155957	a(n)=(2*n^2)^n
A156986	a(n)=(n!!)!!
A157984	a(n)=n!/(7*20!)
A157988	a(n)=16*n!/(253*43!)
A158455	a(n)=2^(n-1)*(n-1)!*(4*n+1)
A158881	a(n)=(n*2^n+1)^(n-1)
A159038	a(n)=8*n!
A159551	a(n)=101*n+10
A160378	a(n)=n^3-n*(n+1)/2
A161581	a(n)=(3n)!/(n!(n+1)!(n+2)!)
A161709	a(n)=22*n+1
A161774	a(n)=n^(3n^3+2)
A163494	a(n)=(4*n)!*((2*n)!)^2
A164278	a(n)=(6*n+1)^(2*n)-1
A165222	a(n)=(2^(n+4)+1)*(2^n+1)
A165254	a(n)=9+n^17
A165457	a(n)=(2*n+1)!*(2*n+3)/3
A165553	a(n)=(3/2)*(1+(-3)^(n-1))
A165704	a(n)=a((n/2))+a((n/3))+a((n/5))
A165928	a(n)=2^(n^2)*(2^(2n+1)/3+1/3)
A166077	a(n)=2^(n(3n-1)/2)
A166334	a(n)=(3*n)!/(2^n*n!)
A166338	a(n)=(4*n)!/n!
A166351	a(n)=(6*n)!/(3*n)!
A166384	a(n)=(5*n)!/(2*n)!
A167536	a(n)=3^(2^n)-2^(2^n)
A168176	a(n)=n^2*(n^10+1)/2
A168180	a(n)=n^3*(n^5+1)/2
A168188	a(n)=n^3*(n^7+1)/2
A168189	a(n)=n^3*(n^8+1)/2
A168190	a(n)=n^3*(n^9+1)/2
A168191	a(n)=n^3*(n^10+1)/2
A168227	a(n)=n^4*(n^8+1)/2
A168346	a(n)=n^4*(n^10+1)/2
A168432	a(n)=n^5*(n^7+1)/2
A168462	a(n)=n^5*(n^8+1)/2
A168471	a(n)=n^5*(n^9+1)/2
A168627	a(n)=n^6*(n^5+1)/2
A168633	a(n)=n^6*(n^9+1)/2
