A002527	0,-1,0,0,-2,-2,0,2,1	-1,2,2,0,10,8,-2,-16,-10,-2,4,2,0,2,1
A002528	0,0,-2	-1,2,2,0,10,8,-2,-16,-10,-2,4,2,0,2,1
A002529	0,0,-2,-2,-2,2,2	-1,2,2,0,10,8,-2,-16,-10,-2,4,2,0,2,1
A002530	0,1,1,-1	1,0,-4,0,1
A002531	1,1,-2,1	1,0,-4,0,1
A002532	0,1	1,-2,-5
A002533	1,-1	1,-2,-5
A002536	0	1,0,-8,0,9
A002537	1,1,-4,3	1,0,-8,0,9
A002561	1,-4,36,56,31	1,-6,15,-20,15,-6,1
A002578	0,0,0,1,1,1,0,1,1	1,-2,1,0,0,0,-1,2,-1
A002579	1,1,0,1,1,1	1,-2,1,0,0,0,-1,2,-1
A002593	0,-1,-23,-23,-1	-1,5,-10,10,-5,1
A002594	0,1,237,1682,1682,237,1	1,-7,21,-35,35,-21,7,-1
A002597	1	1,-1,-2,-1,4,5,-3,-6,-3,5,4,-1,-2,-1,1
A002598	0,1,5,1,-9,-18,-8,29,55,30,-49,-119,-81,50,166,157,-11,-172,-189,-53,125,162,76,-49,-107,-54,9,43,29,-2,-10,-9,0,3	1,-1,-2,-1,0,9,5,-2,-13,-21,4,17,30,13,-25,-28,-25,13,30,17,4,-21,-13,-2,5,9,0,-1,-2,-1,1
A002604	-1,5,-72,-282,-317,-51,-2	-1,7,-21,35,-35,21,-7,1
A002605	0,1	1,-2,-2
A002620	0,0,1	1,-2,0,2,-1
A002622	1	1,-2,0,1,0,1,0,0,-2,0,0,1,0,1,0,-2,1
A002623	1	1,-3,2,2,-3,1
A002662	0,0,0,1	1,-5,9,-7,2
A002663	0,0,0,0,1	1,-6,14,-16,9,-2
A002664	0,0,0,0,0,1	1,-7,20,-30,25,-11,2
A002697	0,1	1,-8,16
A002714	1,3,-7,-5,2	1,-4,2,4,-1
A002717	0,1,2	1,-3,2,2,-3,1
A002721	-1,-3,-60,-7,-168,-7,-60,-3,-1	-1,9,-36,84,-126,126,-84,36,-9,1
A002727	1,0,1,2,1,0,1	1,-4,4,2,-2,-4,-3,12,-3,-4,-2,2,4,-4,1
A002754	0,0,4	1,-11,19,-9
A002783	-1,3,-4	-1,6,-11,6
A002797	-3,1,0,-5,-2,-7,-5	-1,1,1,-1,1,-1,-1,1
A002817	0,1,1,1	1,-5,10,-10,5,-1
A002878	1,1	1,-3,1
A002889	1,3,3,1	1,-7,17,-11,-19,29,3,-21,3,7,-1,-1
A002901	0,1,5,5,7	1,-3,3,-2,3,-3,1
A002939	0,2,6	1,-3,3,-1
A002940	1,1	1,-3,1,3,-1,-1
A002941	1,2,1	1,-5,7,2,-10,2,5,-1,-1
A002943	0,6,2	1,-3,3,-1
A002965	0,1,1,-1	1,0,-2,0,-1
A003082	1,-1,1,0,1,0,1,-1,1	1,-2,0,0,2,2,-3,0,-3,2,2,0,0,-2,1
A003154	0,1,10,1	1,-3,3,-1
A003215	1,4,1	1,-3,3,-1
A003222	2,-12,52,14	1,-11,27,-25,8
A003261	0,-1,-2,4	-1,5,-8,4
A003269	0,1	1,-1,0,0,-1
A003274	-1,2,-2,-1,0,1,-1	-1,3,-3,2,-2,1
A003402	1	1,-1,-1,-1,1,2,1,1,-2,-2,-2,1,1,2,1,-1,-1,-1,1
A003411	1,1,1,1,1	1,-1,0,0,-1
A003417	2,1,2,-3,-1,0,1	1,0,0,-2,0,0,1
